Abraham Lincoln
Achilles
Adolf Hitler
Agatha Christie
Al Capone
Albert Einstein
Alexa (Google *Actually Amazon)
Alfred Hitchcock
Alice (Alice in Wonderland)
Amelia Earhart
Angela Merkel
Angelina Jolie
Anne Frank
Aphrodite
Ariana Grande
Arnold Schwarzenegger
Arya Stark (Game of Thrones)
Attila
Audrey Hepburn
Awkwafina
Babe Ruth
Bambi
Barack Obama
Barbie
Batman
Beethoven
Betty Boop
Beyonc�
Bigfoot
Bilbo (The Hobbit)
Bill Gates
Bill the Kid
Blackbeard
Bob Ross
Bridget Jones
Britney Spears
Bruce Lee
Buffy Summers (Buffy the Vampire Slayer)
Bugs Bunny
Buzz Lightyear
Calamity Jane
Calvin Klein
Captain America
Carrie Bradshaw (Sex and the City)
Catwoman
C�line Dion
Cersei Lannister (Game of Thrones)
Charlie Chaplin
Cher
Chester the Cheetah
Chris Rock
Christopher Columbus
Cinderella
Cindy Crawford
Cleopatra
Clint Eastwood
Condoleezza Rice
Cristiano Ronaldo
Daenerys Targaryen (Game of Thrones)
Daisy Duck
Dalai Lama
Dale Earnhardt
Darth Vader (Star Wars)
David Bowie
Dexter Morgan (Dexter)
Django (Django Unchained)
Doctor Who
Dolly Parton
Don Corleone (The Godfather)
Dora the Explorer
Dracula
E.T. the Extra-Terrestrial
Edward Scissorhands
Eliazbeth II
Ellen Degeneres
Ellen Ripley (Alie
Elon Musk
Elsa (Frozen)
Elvis Presley
Eminem
Eric Cartman (South Park)
Forrest Gump
Frank Sinatra
Frankenstein
Freddie Mercury
Frida Kahlo
Gandalf
Gandhi
Garfield
General Robert E. Lee
George Foreman
George Lucas
God
Godzilla
Gollum
Gordon Ramsay
Greta Thunberg
Groot (Guardians of the Galaxy)
Guy Fieri
H.P. Lovecraft
Halle Berry
Hannibal Lecter
Harry Potter
Hayao Miyazaki [Director of Studio Ghibli]
Henry Ford
Hercules
Hillary Clinton
Homer Simpson
Howard Stern
Hulk
Indiana Jones
Iron Man
Isaac Newton
J.K. Rowling
Jack Dawson (Titanic)
Jack Sparrow
Jack the Ripper
Jackie Kennedy
James Bond
James Corden
Jane Austen
Jason Bourne
Jeff Bezos
Jessica Rabbit (Who Framed Roger Rabbit)
Joan of Arc
Joe Biden
Joe Goldberg (You)
John Cleese (Monty Python)
John Fitzgerald Kennedy
John Lennon
Jon Snow (Game of Thrones)
Joseph Stalin
Josephine Baker
Judge Dredd
Julia Child
Julia Roberts
Juliet Capulet (Romeo and Juliet)
Julius Caesar
Katniss Everdeen (The Hunger Games)
Katy Perry
Kermit the Frog
Kim Jong-un
Kim Kardashian
King Arthur
King Kong
Kool-Aid Man
Kurt Cobain
Lady Godiva
Lance Armstrong
Lara Croft
Larry Bird
Leonardo da Vinci
Leonardo DiCaprio
Lightning McQueen (Cars)
Lionel Messi
Little Red Riding Hood
Louis Armstrong
"Louis XIV, The Sun King"
Luke Skywalker (Star Wars)
Mad Max
Madonna
Malcolm X
Marco Polo
Margaret Thatcher
Marge Simpson
Marilyn Monroe
Mario
Mark Zuckerberg
Martin Luther King Jr.
Mary Poppins
Merlin
Meryl Streep
Michael Jackson
Michael Jordan
Michael Myers (Halloween)
Michelle Obama
Mickey Mouse
Minion (Despicable Me)
Mona Lisa
Mother Nature
Mozart
Mr. Clean
Mr. Peanut
Mr. Potato Head
Mr. Rogers
Muhammed Ali
Naomi Campbell
Napoleon Bonaparte
Natalie Portman
Nelson Mandela
Nemo
Neo (Matrix)
Nicola Tesla
Oprah Winfrey
Pablo Escobar
Pablo Picasso
Pac-Man
Paddington Bear
Patrick Stewart
Peppa Pig
Peter Pan
Phoebe Buffay (Friends)
Pikachu
Pinocchio
Pocahontas
Popeye
Prince Charles
Prince Charming
Prince William
Princess Leia (Star Wars)
Quasimodo (The Hunchback of Notre-Dame)
Quentin Tarantino
Rachel Greene (Friends)
Rafael Nadal
Rapunzel
Rick Sanchez (Rick and Morty)
Rihanna
Robin Hood
Robinson Crusoe
Rocky Balboa
Romeo Montague (Romeo and Juliet)
Ron Burgundy (Anchorman)
Ronald McDonald
Rosa Parks
Rose DeWitt Bukater (Titanic)
Ryan Seacrest
Sabrina Spellman (Sabring the Teenage Witch)
Salvador Dali
Santa Claus
Sauron (Lord of the Rings)
Scarlett Johansson
Scooby-Doo
Sean Connery
Serena Williams
Shaun the Sheep
Sherlock Holmes
Shrek
Simb (The Lion King)
Siri (Apple assistant)
Sitting Bull
Skeletor
Sleeping Beauty
Sneezy (Snow White and the Seven Dwarfs)
Snoop Dogg
Snow White
Sonic
Spider-Man
Spock (Star Trek)
Stan Lee
Stephen Hawking
Stephen King
Steve Irwin (Crocodile Hunter)
Steven Spielberg
Stevie Wonder
Superman
Sylvester the Cat
Tarzan
Taylor Swift
Ted Lasso
Terminator
The Devil
The Genie of the lamp (Aladdin)
The Invisible Man
The Joker
The Jolly Green Giant
The Michelin Man
The Professor (Money Heist)
The Shark (from JAWS)
Thomas Edison
Thomas the Tank Engine
Thor
Tiger Woods
Tokyo (Money Heist)
Tom Brady
Tom Cruise
Tony Montana (Scarface)
Tony Soprano (The Sopranos)
Tony the Tiger
Toto (Wizard of Oz)
Tutankhamen
Ulysses
Uncle Sam
Usain Bolt
Victoria Beckham
Vincent van Gogh
Voldemort
Wall-E
Walter White (Breaking Bad)
Wednesday Addams (The Addams Family)
Whoopi Goldberg
Willie Mays
Winnie-the-Pooh
Winston Churchill
Wolverine
Woodstock (Peanuts)
Woody Allen
Wyatt Earp
Yoda (Star Wars)
Zelda
Zeus
